id,region_name
1,부산 연제구 좌수영로 225
2,부산 북구 만덕대로 37
3,부산 강서구 미음산단로295번길 6
4,부산 사상구 사상로433번길 13
5,부산 사하구 을숙도대로 651
6,부산 동래구 명륜로 109
7,부산 남구 유엔평화로 156
8,부산 해운대구 신반송로 196
9,부산 동구 초량상로 98
10,부산 북구 시랑로118번길 54-6
11,부산 북구 금곡대로303번길 36
12,부산 동래구 명륜로112번가길 36
13,부산 남구 유엔로 221
14,부산 사하구 다대로320번길 10
15,부산 부산진구 중앙대로692번길 16
16,부산 부산진구 자유평화로 11
17,부산 동구 중앙대로196번길 12-11
18,부산 수영구 광안해변로344번길 17-20
19,부산 부산진구 부전로 157-1
20,부산 수영구 황령대로489번길 10
21,부산 부산진구 성지로 158
22,부산 부산진구 자유평화로 11
23,부산 북구 만덕대로 158
24,부산 해운대구 대천로 108
25,부산 금정구 장전로 22-11
26,부산 서구 구덕로274번길 14
27,부산 사하구 낙동남로 1401-1
28,부산 해운대구 구남로18번길 46
29,부산 연제구 해맞이로 51
30,부산 사하구 다대로 616
31,부산 사상구 사상로 149
32,부산 북구 낙동대로 1791
33,부산 사하구 다대로1066번길 6
34,부산 금정구 동천로 53
35,부산 동래구 안남로 38
36,부산 금정구 금샘로 66
37,부산 영도구 태종로 85
38,부산 연제구 거제천로154번길 46
39,부산 부산진구 가야대로 721
40,부산 동래구 여고로75번길 79-2
41,부산 기장군 장안읍 장안산단9로 87
42,부산 사상구 학감대로192번길 71
43,부산 서구 암남공원로 522
44,부산 북구 낙동대로 1791
45,부산 금정구 금정로 249
46,부산 금정구 동천로7번길 34-9
47,부산 기장군 철마면 반송로 979
48,부산 중구 대청로 70
49,부산 금정구 동현로16번길 83
50,부산 영도구 절영로 72
51,부산 연제구 연산동
52,부산 금정구 금정로 29-17
53,부산 동구 자성공원로3번길 10
54,부산 해운대구 달맞이길62번길 28
55,부산 기장군 기장읍
56,부산 전지역 전지역
57,부산 사상구 엄궁동
58,부산 동래구 충렬대로181번길 47-3
59,부산 부산진구 전포동
60,부산 동구 범일동
61,부산 동래구 사직동
62,부산 영도구 동삼동
63,부산 북구 만덕동
64,부산 동래구 명장동
65,부산 기장군 전지역
66,부산 사하구 전지역
67,부산 부산진구 당감동
68,부산 해운대구 재송동
69,부산 수영구 광안동
70,부산 동래구 온천동
71,부산 연제구 연산동
72,부산 영도구 동삼동
73,부산 동래구 사직동
74,부산 중구 중앙동
75,부산 사하구 하단동
76,부산 동래구 충렬대로182번길 15
77,부산 동래구 충렬대로182번길 15
78,부산 동래구 충렬대로182번길 15
79,부산 동래구 충렬대로182번길 15
80,부산 동래구 충렬대로182번길 15
81,부산 부산진구 중앙대로 856
82,부산 동구 범일동
83,부산 사하구 괴정동
84,부산 영도구 동삼동
85,부산 연제구 연산동
86,부산 동구 수정동
87,부산 사상구 전지역
88,부산 서구 암남동
89,부산 동래구 사직동
90,부산 동래구 충렬대로182번길 15
91,부산 동래구 충렬대로182번길 15
92,부산 동래구 충렬대로182번길 15
93,부산 동래구 충렬대로182번길 15
94,부산 동래구 충렬대로182번길 15
95,부산 동래구 충렬대로182번길 15
96,부산 동래구 충렬대로182번길 15
97,부산 동래구 충렬대로182번길 15
98,부산 동래구 충렬대로182번길 15
99,부산 동래구 충렬대로182번길 15
100,부산 동구 초량동
101,부산 강서구 신호산단5로 31
102,부산 사하구 하단동
103,부산 전지역 전지역
104,부산 부산진구 부전동
105,부산 연제구 연산동
