출처,기업명,제목,급여,등록일,마감일,근무지역,경력,학력,근무형태,근무직종,연락처,세부내용,자격면허,우대사항,링크,조회수
고용24,"주식회사 제이티엠 (JTM Co.,Ltd.)",[감전동] 아파트 청소원 모집,"시급 9,860원 ~ 9,860원",2024-10-22,2024-12-21,"부산광역시 사상구 괘감로 146, .. (감전동, 감전역 예서 두레라움)",경력 (최소 1년 0 개월 이상) 우대,학력무관,주 6일 근무,사업시설 유지․관리 서비스업,,"<td>
              
              감전동 예서 두레라움 아파트 단지내 청소<br/>- 근무시간: 08:30~16:00(평일) / 휴게 1.5시간<br/>               08:30~13:00(토요일) / 휴게 30분<br/>- 임금: 1,713,770원<br/>- 관리소장(010-3286-8878)님께 바로 전화 하세요.
            </td>",관계없음  ,"(준)고령자(50세이상)
              	",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KJBJ002410220004&rtnTarget=list1&pageIndex=1&rtnUrl=?,20
고용24,(주)경성종합관리,[하단동] 시우스오피스텔 경비원 구인,월급 183만원 이상,2024-10-22,2024-12-21,"부산광역시 사하구 하신중앙로 336, 시우스오피스텔 (하단동)",관계없음,학력무관,"주 3일 근무
(주 소정근로시간: 40시간)",인력 공급업,051-220-5696,"<td>
              
              -시우스오피스텔 경비원<br/>-06:20~익일06:20 (휴게-주간 4.5시간, 야간 7.5시간)<br/>-경비신임교육이수증 필수<br/><br/>*사하구청 일자리지원센터 채용대행중입니다. <br/>지원문의 : 051-220-5696 실제 구직지원 의사 있는 분들만 지원부탁드립니다.
            </td>",관계없음  ,"(준)고령자(50세이상)
              	",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KJBK002410220006&rtnTarget=list2&pageIndex=1&rtnUrl=?,37
고용24,구덕재가노인복지센터,[서대신동 꽃마을] 재가요양보호사 모집,"시급 9,860원 이상",2024-10-22,2024-12-21,"부산광역시 서구 서대신동3가 꽃마을로169번길 55, 인근 주택 (서대신동3가)",경력 (최소 0년 1 개월 이상) 우대,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",사회복지 상담서비스 제공업,,"<td>
              
              [대신동 꽃마을] <br/><br/>* 4등급 80대 여자어르신(독거)<br/>* 9:00~12:00 주5일 <br/>* 일상생활지원등<br/>* 시급 12,500원[ 시급:9,860원, 주휴수당,연차수당 별도 지급 포함)<br/>* 문의: 010-7721-3114
            </td>",요양보호사(필수),"(준)고령자(50세이상)
              	",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KF10912410220014&rtnTarget=list3&pageIndex=1&rtnUrl=?,11
고용24,구덕재가노인복지센터,[서대신동] 재가요양보호사 모집,"시급 9,860원 ~ 12,500원",2024-10-22,2024-12-21,"부산광역시 서구 서대신동3가 꽃마을로 57, 인근 (서대신동3가, 서대신금호어울림아파트)",경력 (최소 0년 1 개월 이상) 우대,학력무관,"주 3일 근무
(주 소정근로시간: 9시간)",사회복지 상담서비스 제공업,,"<td>
              
              [서대신동 서대신금호어울림아파트 ]<br/><br/>* 4등급 70대 여자어르신 (독거)<br/>* 13:00~16:00  주3일 (월수금)<br/>* 일상생활지원등<br/>* 시급 :12,500원 (제수당포함)<br/>* 문의: 010-7721-3114
            </td>",요양보호사(필수),"(준)고령자(50세이상)
              	",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KF10912410220011&rtnTarget=list4&pageIndex=1&rtnUrl=?,23
고용24,부경공영주식회사,[양정동]아파트 경비원 모집,월급 219만원 이상,2024-10-22,2024-12-21,"부산광역시 부산진구 연수로11번길 21, .. (양정동, 양정이즈팰리스)",경력 (최소 1년 0 개월 이상) 우대,학력무관,"주 4일 근무
(주 소정근로시간: 40시간)",상용 인력 공급 및 인사관리 서비스업,051-310-5194,"<td>
              
              * 양정동 아파트 경비원 모집<br/>* 격일제 06:00~06:00 / 2,197,430원~<br/>* 경비이수증 필수<br/><br/>- 담당자와 통화 후 면접시간, 장소 안내 받으시길 바랍니다.<br/>- 담당자: 사상구청 일자리센터 051-310-5194<br/>
</td>",관계없음  ,"(준)고령자(50세이상)
              	",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KJBJ002410220003&rtnTarget=list5&pageIndex=1&rtnUrl=?,64
고용24,주식회사한누리,식판통 배송 및 세척직원 모집(정관),월급 180만원 ~ 180만원,2024-10-22,2024-12-21,"부산광역시 기장군 정관읍 정관상곡2길 25-34, .",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 30시간)",그 외 기타 달리 분류되지 않은 개인 서비스업,,"<td>
              
              ㅁ 업 체 명 : (주)한누리<br/>ㅁ 근무주소 : 정관읍 정관상곡2길 25-34   <br/>ㅁ 모집직종 : 식판통 배송 및 수거업무  1명 <br/>ㅁ 우대사항 : 운전면허증 필수 (1톤 탑차 수동운전가능자)  <br/>ㅁ 근무시간 : 주 5일, 9:00 ~16:30 (휴게 11:30~13:00/ 하루 6시간근무, 주 30시간)<br/>ㅁ 급여사항 : 월 180만원<br/>ㅁ 복리후생 : 4대보험, 퇴직금 <br/>ㅁ 접수방법 : 전화 후 방문 - 이력서, 등본(채용시)<br/>ㅁ 연락처: 010-3592-5445 
            </td>","자동차운전면허(필수)
기타 : 1톤 탑차운전 필수(수동기어)","(준)고령자(50세이상)
              	운전면허증",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KJBD002410220004&rtnTarget=list6&pageIndex=1&rtnUrl=?,41
고용24,금샘요양지원센타,[남산동] 재가요양보호사 모집,"시급 9,860원 ~ 9,860원",2024-10-22,2024-12-21,"부산광역시 금정구 중앙대로 2075-8, . (남산동, 남산하이츠 아파트)",관계없음,학력무관,"주 2일 근무
(주 소정근로시간: 6시간)",노인 요양 복지시설 운영업,,"<td>
              
              금샘요양지원센터<br/>남산하이츠 (범어사역 인근)<br/>4등급 82세 여자어르신<br/>주2일 14시~17시 <br/>시급 12,500원(시급9,860원+주휴,연차수당포함)<br/>문의 010-5066-2475<br/>
</td>",요양보호사(필수),"(준)고령자(50세이상)
              	",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KJBC002410220002&rtnTarget=list7&pageIndex=1&rtnUrl=?,42
고용24,(주)썬앤문,[대교동] 정요양병원 미화원 모십니다,월급 171만원 ~ 171만원,2024-10-22,2024-12-21,"부산광역시 영도구 절영로 32, 정요양병원 (대교동1가)",관계없음,학력무관,"주 6일 근무
(주 소정근로시간: 31시간)",건축설계 및 관련 서비스업,,"<td>
              
              [영도 대교동]영도병원 인근 요양병원 미화원 모집<br/>● 병실 및 복도 미화 업무 등<br/>● 월~금 06:00~16:00 (휴게 4.5시간) / 토.일 (격주 근무) 06:00~11:30 (휴게 2시간)<br/>● 월급 1,712,420원<br/>● 채용담당자 ☎010-8530-1717<br/>
</td>",관계없음  ,"(준)고령자(50세이상)
              	",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KJBP002410220001&rtnTarget=list8&pageIndex=1&rtnUrl=?,16
고용24,한마음재가복지센터,[해운대구 우동] 요양보호사 모집,"시급 9,860원 이상",2024-10-22,2024-12-21,"부산광역시 해운대구 해운대로 428, 우동 (우동, 동부올림픽타운)",관계없음,학력무관,주 3일 근무,노인 요양 복지시설 운영업,,"<td>
              
              독거 할머니(82세) 돌봐주시실 분 구합니다.  
<br/>
<br/>주소 : 해운대구 우동 동부올림픽타운
<br/>등급 : 4등급
<br/>시간 : 월, 수, 금 오전 3시간 
<br/>주업무 : 말벗, 청소
<br/>포괄시급 : 12,500원(년차, 월차수당 포함)
<br/>
<br/>전화 : 010-2580-1902
            </td>",요양보호사(필수),"(준)고령자(50세이상)
              	",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KJBQ002410220007&rtnTarget=list9&pageIndex=1&rtnUrl=?,11
고용24,차성복지센터,재가요양보호사 모집(장안),"시급 9,860원 이상",2024-10-22,2024-12-21,"부산광역시 기장군 장안읍 해맞이로 311-31, .",관계없음,학력무관,"주 6일 근무
(주 소정근로시간: 18시간)",방문 복지서비스 제공업,,"<td>
              
              ■차성복지센터(기장센터)<br/>- 4등급 78세 남자어르신 독거<br/>- 장안 문화예절학교 인근<br/>- 주 6일, 09:00~12:00 (시간조정가능)<br/>- 요양보호사자격증 (필수)<br/>- 시급 12,500원 (수당포함), 교통비지급<br/>- 전화 후 방문 접수 - 요양보호사 자격증 사본,  건강검진서<br/>- 문의 : 051-724-8825 / 010-5370-0340<br/><br/>*실제 서비스 제공기간에 따라 임금을 계산하여  지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음*
            </td>",요양보호사(필수),"(준)고령자(50세이상)
              	",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=&wantedAuthNo=KJBD002410220003&rtnTarget=list10&pageIndex=1&rtnUrl=?,22
